Tono	PROPN	Tono
as	ADV	as
big	ADJ	big
as	ADP	as
he	PRON	he
said	VERB	say
?	PUNCT	?
Was	AUX	be
Gordon	PROPN	Gordon
-	PUNCT	-
Nasmyth	PROPN	Nasmyth
—	PUNCT	—
imaginative	ADJ	imaginative
?	PUNCT	?
And	CCONJ	and
if	SCONJ	if
these	DET	these
values	NOUN	value
held	VERB	hold
,	PUNCT	,
could	AUX	could
we	PRON	we
after	ADV	after
all	ADV	all
get	VERB	get
the	DET	the
stuff	NOUN	stuff
?	PUNCT	?
It	PRON	it
was	AUX	be
n't	PART	not
ours	PRON	ours
.	PUNCT	.
It	PRON	it
was	AUX	be
on	ADP	on
forbidden	ADJ	forbidden
ground	NOUN	ground
.	PUNCT	.
You	PRON	you
see	VERB	see
,	PUNCT	,
there	PRON	there
were	AUX	be
doubts	NOUN	doubt
of	ADP	of
every	DET	every
grade	NOUN	grade
and	CCONJ	and
class	NOUN	class
in	ADP	in
the	DET	the
way	NOUN	way
of	ADP	of
this	DET	this
adventure	NOUN	adventure
.	PUNCT	.
We	PRON	we
went	VERB	go
some	DET	some
way	NOUN	way
,	PUNCT	,
nevertheless	ADV	nevertheless
,	PUNCT	,
in	ADP	in
the	DET	the
discussion	NOUN	discussion
of	ADP	of
his	PRON	his
project	NOUN	project
,	PUNCT	,
though	SCONJ	though
I	PRON	I
think	VERB	think
we	PRON	we
tried	VERB	try
his	PRON	his
patience	NOUN	patience
.	PUNCT	.
Then	ADV	then
suddenly	ADV	suddenly
he	PRON	he
vanished	VERB	vanish
from	ADP	from
London	PROPN	London
,	PUNCT	,
and	CCONJ	and
I	PRON	I
saw	VERB	see
no	DET	no
more	ADJ	more
of	ADP	of
him	PRON	he
for	ADP	for
a	DET	a
year	NOUN	year
and	CCONJ	and
a	DET	a
half	NOUN	half
.	PUNCT	.
My	PRON	my
uncle	NOUN	uncle
said	VERB	say
that	DET	that
was	AUX	be
what	PRON	what
he	PRON	he
had	AUX	have
expected	VERB	expect
,	PUNCT	,
and	CCONJ	and
when	SCONJ	when
at	ADP	at
last	ADV	last
Gordon	PROPN	Gordon
-	PUNCT	-
Nasmyth	PROPN	Nasmyth
reappeared	VERB	reappear
and	CCONJ	and
mentioned	VERB	mention
in	ADP	in
an	DET	an
incidental	ADJ	incidental
way	NOUN	way
that	SCONJ	that
he	PRON	he
had	AUX	have
been	AUX	be
to	ADP	to
Paraguay	PROPN	Paraguay
on	ADP	on
private	ADJ	private
(	PUNCT	(
and	CCONJ	and
we	PRON	we
guessed	VERB	guess
passionate	ADJ	passionate
)	PUNCT	)
affairs	NOUN	affair
,	PUNCT	,
the	DET	the
business	NOUN	business
of	ADP	of
the	DET	the
“	PUNCT	""""
quap	NOUN	quap
”	PUNCT	""""
expedition	NOUN	expedition
had	AUX	have
to	PART	to
be	AUX	be
begun	VERB	begin
again	ADV	again
at	ADP	at
the	DET	the
beginning	NOUN	beginning
.	PUNCT	.
My	PRON	my
uncle	NOUN	uncle
was	AUX	be
disposed	VERB	dispose
to	PART	to
be	AUX	be
altogether	ADV	altogether
sceptical	ADJ	sceptical
,	PUNCT	,
but	CCONJ	but
I	PRON	I
was	AUX	be
n't	PART	not
so	ADV	so
decided	VERB	decide
.	PUNCT	.
I	PRON	I
think	VERB	think
I	PRON	I
was	AUX	be
drawn	VERB	draw
by	ADP	by
its	PRON	its
picturesque	ADJ	picturesque
aspects	NOUN	aspect
.	PUNCT	.
But	CCONJ	but
we	PRON	we
neither	DET	neither
of	ADP	of
us	PRON	we
dreamt	VERB	dream
of	ADP	of
touching	VERB	touch
it	PRON	it
seriously	ADV	seriously
until	ADP	until
Capern	PROPN	Capern
's	PART	's
discovery	NOUN	discovery
.	PUNCT	.
Nasmyth	PROPN	Nasmyth
's	PART	's
story	NOUN	story
had	AUX	have
laid	VERB	lay
hold	NOUN	hold
of	ADP	of
my	PRON	my
imagination	NOUN	imagination
like	ADP	like
one	NUM	one
small	ADJ	small
,	PUNCT	,
intense	ADJ	intense
picture	NOUN	picture
of	ADP	of
tropical	ADJ	tropical
sunshine	NOUN	sunshine
hung	VERB	hang
on	ADP	on
a	DET	a
wall	NOUN	wall
of	ADP	of
grey	ADJ	grey
business	NOUN	business
affairs	NOUN	affair
.	PUNCT	.
I	PRON	I
kept	VERB	keep
it	PRON	it
going	VERB	go
during	ADP	during
Gordon	PROPN	Gordon
-	PUNCT	-
Nasmyth	PROPN	Nasmyth
's	PART	's
intermittent	ADJ	intermittent
appearances	NOUN	appearance
in	ADP	in
England	PROPN	England
.	PUNCT	.
Every	DET	every
now	ADV	now
and	CCONJ	and
then	ADV	then
he	PRON	he
and	CCONJ	and
I	PRON	I
would	AUX	would
meet	VERB	meet
and	CCONJ	and
reinforce	VERB	reinforce
its	PRON	its
effect	NOUN	effect
.	PUNCT	.
We	PRON	we
would	AUX	would
lunch	VERB	lunch
in	ADP	in
London	PROPN	London
,	PUNCT	,
or	CCONJ	or
he	PRON	he
would	AUX	would
cone	VERB	cone
to	PART	to
see	VERB	see
my	PRON	my
gliders	NOUN	glider
at	ADP	at
Crest	PROPN	Crest
Hill	PROPN	Hill
,	PUNCT	,
and	CCONJ	and
make	VERB	make
new	ADJ	new
projects	NOUN	project
for	ADP	for
getting	VERB	get
at	ADP	at
those	DET	those
heaps	NOUN	heap
again	ADV	again
now	ADV	now
with	ADP	with
me	PRON	I
,	PUNCT	,
now	ADV	now
alone	ADV	alone
.	PUNCT	.
At	ADP	at
times	NOUN	time
they	PRON	they
became	VERB	become
a	DET	a
sort	NOUN	sort
of	ADP	of
fairy	NOUN	fairy
-	PUNCT	-
story	NOUN	story
with	ADP	with
us	PRON	we
,	PUNCT	,
an	DET	an
imaginative	ADJ	imaginative
exercise	NOUN	exercise
.	PUNCT	.
And	CCONJ	and
there	PRON	there
came	VERB	come
Capern	PROPN	Capern
's	PART	's
discovery	NOUN	discovery
of	ADP	of
what	PRON	what
he	PRON	he
called	VERB	call
the	DET	the
ideal	NOUN	ideal
filament	NOUN	filament
and	CCONJ	and
with	ADP	with
it	PRON	it
an	DET	an
altogether	ADV	altogether
less	ADV	less
problematical	ADJ	problematical
quality	NOUN	quality
about	ADP	about
the	DET	the
business	NOUN	business
side	NOUN	side
of	ADP	of
quap	NOUN	quap
.	PUNCT	.
For	ADP	for
the	DET	the
ideal	ADJ	ideal
filament	NOUN	filament
needed	VERB	need
five	NUM	five
per	NOUN	per
cent	NOUN	cent
.	PUNCT	.
of	NOUN	of
canadium	NOUN	canadium
,	PUNCT	,
and	CCONJ	and
canadium	NOUN	canadium
was	AUX	be
known	VERB	know
to	ADP	to
the	DET	the
world	NOUN	world
only	ADV	only
as	ADP	as
a	DET	a
newly	ADV	newly
separated	ADJ	separated
constituent	NOUN	constituent
of	ADP	of
a	DET	a
variety	NOUN	variety
of	ADP	of
the	DET	the
rare	ADJ	rare
mineral	NOUN	mineral
rutile	NOUN	rutile
.	PUNCT	.
But	CCONJ	but
to	ADP	to
Thorold	PROPN	Thorold
it	PRON	it
was	AUX	be
better	ADV	well
known	VERB	know
as	ADP	as
an	DET	an
element	NOUN	element
in	ADP	in
a	DET	a
mysterious	ADJ	mysterious
sample	NOUN	sample
brought	VERB	bring
to	ADP	to
him	PRON	he
by	ADP	by
me	PRON	I
,	PUNCT	,
and	CCONJ	and
to	ADP	to
me	PRON	I
it	PRON	it
was	AUX	be
known	VERB	know
as	ADP	as
one	NUM	one
of	ADP	of
the	DET	the
elements	NOUN	element
in	ADP	in
quap	PROPN	quap
.	PUNCT	.
I	PRON	I
told	VERB	tell
my	PRON	my
uncle	NOUN	uncle
,	PUNCT	,
and	CCONJ	and
we	PRON	we
jumped	VERB	jump
on	ADP	on
to	ADP	to
the	DET	the
process	NOUN	process
at	ADP	at
once	ADV	once
.	PUNCT	.
We	PRON	we
found	VERB	find
that	SCONJ	that
Gordon	PROPN	Gordon
-	PUNCT	-
Nasmyth	PROPN	Nasmyth
,	PUNCT	,
still	ADV	still
unaware	ADJ	unaware
of	ADP	of
the	DET	the
altered	ADJ	altered
value	NOUN	value
of	ADP	of
the	DET	the
stuff	NOUN	stuff
,	PUNCT	,
and	CCONJ	and
still	ADV	still
thinking	VERB	think
of	ADP	of
the	DET	the
experimental	ADJ	experimental
prices	NOUN	price
of	ADP	of
radium	NOUN	radium
and	CCONJ	and
the	DET	the
rarity	NOUN	rarity
value	NOUN	value
of	ADP	of
cerium	NOUN	cerium
,	PUNCT	,
had	AUX	have
got	VERB	get
hold	NOUN	hold
of	ADP	of
a	DET	a
cousin	NOUN	cousin
named	VERB	name
Pollack	PROPN	Pollack
,	PUNCT	,
made	VERB	make
some	DET	some
extraordinary	ADJ	extraordinary
transaction	NOUN	transaction
about	ADP	about
his	PRON	his
life	NOUN	life
insurance	NOUN	insurance
policy	NOUN	policy
,	PUNCT	,
and	CCONJ	and
was	AUX	be
buying	VERB	buy
a	DET	a
brig	NOUN	brig
.	PUNCT	.
We	PRON	we
put	VERB	put
in	ADP	in
,	PUNCT	,
put	VERB	put
down	ADP	down
three	NUM	three
thousand	NUM	thousand
pounds	NOUN	pound
,	PUNCT	,
and	CCONJ	and
forthwith	ADV	forthwith
the	DET	the
life	NOUN	life
insurance	NOUN	insurance
transaction	NOUN	transaction
and	CCONJ	and
the	DET	the
Pollack	PROPN	Pollack
side	NOUN	side
of	ADP	of
this	DET	this
finance	VERB	finance
vanished	VERB	vanish
into	ADP	into
thin	ADJ	thin
air	NOUN	air
,	PUNCT	,
leaving	VERB	leave
Pollack	PROPN	Pollack
,	PUNCT	,
I	PRON	I
regret	VERB	regret
to	PART	to
say	VERB	say
,	PUNCT	,
in	ADP	in
the	DET	the
brig	NOUN	brig
and	NOUN	and
in	ADP	in
the	DET	the
secret	ADJ	secret
—	PUNCT	—
except	SCONJ	except
so	ADV	so
far	ADV	far
as	ADP	as
canadium	NOUN	canadium
and	CCONJ	and
the	DET	the
filament	NOUN	filament
went	VERB	go
—	PUNCT	—
as	NOUN	as
residuum	NOUN	residuum
.	PUNCT	.
We	PRON	we
discussed	VERB	discuss
earnestly	ADV	earnestly
whether	SCONJ	whether
we	PRON	we
should	AUX	should
charter	VERB	charter
a	DET	a
steamer	NOUN	steamer
or	CCONJ	or
go	VERB	go
on	ADP	on
with	ADP	with
the	DET	the
brig	NOUN	brig
,	PUNCT	,
but	CCONJ	but
we	PRON	we
decided	VERB	decide
on	ADP	on
the	DET	the
brig	NOUN	brig
as	ADP	as
a	DET	a
less	ADV	less
conspicuous	ADJ	conspicuous
instrument	NOUN	instrument
for	ADP	for
an	DET	an
enterprise	NOUN	enterprise
that	PRON	that
was	AUX	be
after	ADV	after
all	ADV	all
,	PUNCT	,
to	PART	to
put	VERB	put
it	PRON	it
plainly	ADV	plainly
,	PUNCT	,
stealing	VERB	steal
.	PUNCT	.
But	CCONJ	but
that	DET	that
was	AUX	be
one	NUM	one
of	ADP	of
our	PRON	our
last	ADJ	last
enterprises	NOUN	enterprise
before	ADP	before
our	PRON	our
great	ADJ	great
crisis	NOUN	crisis
,	PUNCT	,
and	CCONJ	and
I	PRON	I
will	AUX	will
tell	VERB	tell
of	ADP	of
it	PRON	it
in	ADP	in
its	PRON	its
place	NOUN	place
.	PUNCT	.
So	SCONJ	so
it	PRON	it
was	AUX	be
quap	X	quap
came	VERB	come
into	ADP	into
our	PRON	our
affairs	NOUN	affair
,	PUNCT	,
came	VERB	come
in	ADP	in
as	ADP	as
a	DET	a
fairy	NOUN	fairy
-	PUNCT	-
tale	NOUN	tale
and	CCONJ	and
became	VERB	become
real	ADJ	real
.	PUNCT	.
More	ADV	more
and	CCONJ	and
more	ADV	more
real	ADJ	real
it	PRON	it
grew	VERB	grow
until	ADP	until
at	ADP	at
last	ADV	last
it	PRON	it
was	AUX	be
real	ADJ	real
,	PUNCT	,
until	ADP	until
at	ADP	at
last	ADV	last
I	PRON	I
saw	VERB	see
with	ADP	with
my	PRON	my
eyes	NOUN	eye
the	DET	the
heaps	NOUN	heap
my	PRON	my
imagination	NOUN	imagination
had	AUX	have
seen	VERB	see
for	ADP	for
so	ADV	so
long	ADV	long
,	PUNCT	,
and	CCONJ	and
felt	VERB	feel
between	ADP	between
my	PRON	my
fingers	NOUN	finger
again	ADV	again
that	DET	that
half	ADV	half
-	PUNCT	-
gritty	ADJ	gritty
,	PUNCT	,
half	ADV	half
soft	ADJ	soft
texture	NOUN	texture
of	ADP	of
quap	NOUN	quap
,	PUNCT	,
like	ADP	like
sanded	ADJ	sanded
moist	ADJ	moist
-	PUNCT	-
sugar	NOUN	sugar
mixed	VERB	mix
with	ADP	with
clay	NOUN	clay
in	ADP	in
which	DET	which
there	PRON	there
stirs	VERB	stir
something	PRON	something
—	PUNCT	—
One	PRON	one
must	AUX	must
feel	VERB	feel
it	PRON	it
to	PART	to
understand	VERB	understand
.	PUNCT	.
V	X	v
All	DET	all
sorts	NOUN	sort
of	ADP	of
things	NOUN	thing
came	VERB	come
to	ADP	to
the	DET	the
Hardingham	PROPN	Hardingham
and	CCONJ	and
offered	VERB	offer
themselves	PRON	themselves
to	ADP	to
my	PRON	my
uncle	NOUN	uncle
.	PUNCT	.
Gordon	PROPN	Gordon
-	PUNCT	-
Nasmyth	PROPN	Nasmyth
stands	VERB	stand
but	CCONJ	but
only	ADV	only
because	SCONJ	because
he	PRON	he
played	VERB	play
a	DET	a
part	NOUN	part
at	ADP	at
last	ADJ	last
in	ADP	in
the	DET	the
crisis	NOUN	crisis
of	ADP	of
our	PRON	our
fortunes	NOUN	fortune
.	PUNCT	.
So	ADV	so
much	ADJ	much
came	VERB	come
to	ADP	to
us	PRON	we
that	SCONJ	that
it	PRON	it
seemed	VERB	seem
to	ADP	to
me	PRON	I
at	ADP	at
times	NOUN	time
as	ADP	as
though	SCONJ	though
the	DET	the
whole	ADJ	whole
world	NOUN	world
of	ADP	of
human	ADJ	human
affairs	NOUN	affair
was	AUX	be
ready	ADJ	ready
to	PART	to
prostitute	VERB	prostitute
itself	PRON	itself
to	ADP	to
our	PRON	our
real	ADJ	real
and	CCONJ	and
imaginary	ADJ	imaginary
millions	NOUN	million
.	PUNCT	.
As	ADP	as
I	PRON	I
look	VERB	look
back	ADV	back
,	PUNCT	,
I	PRON	I
am	AUX	be
still	ADV	still
dazzled	VERB	dazzle
and	CCONJ	and
incredulous	ADJ	incredulous
to	PART	to
think	VERB	think
of	ADP	of
the	DET	the
quality	NOUN	quality
of	ADP	of
our	PRON	our
opportunities	NOUN	opportunity
.	PUNCT	.
We	PRON	we
did	AUX	do
the	DET	the
most	ADV	most
extraordinary	ADJ	extraordinary
things	NOUN	thing
;	PUNCT	;
things	NOUN	thing
that	PRON	that
it	PRON	it
seems	VERB	seem
absurd	ADJ	absurd
to	ADP	to
me	PRON	I
to	PART	to
leave	VERB	leave
to	ADP	to
any	DET	any
casual	ADJ	casual
man	NOUN	man
of	ADP	of
wealth	NOUN	wealth
and	CCONJ	and
enterprise	NOUN	enterprise
who	PRON	who
cares	VERB	care
to	PART	to
do	AUX	do
them	PRON	they
.	PUNCT	.
I	PRON	I
had	AUX	have
some	DET	some
amazing	ADJ	amazing
perceptions	NOUN	perception
of	ADP	of
just	ADV	just
how	SCONJ	how
modern	ADJ	modern
thought	NOUN	thought
and	CCONJ	and
the	DET	the
supply	NOUN	supply
of	ADP	of
fact	NOUN	fact
to	ADP	to
the	DET	the
general	ADJ	general
mind	NOUN	mind
may	AUX	may
be	AUX	be
controlled	VERB	control
by	ADP	by
money	NOUN	money
.	PUNCT	.
Among	ADP	among
other	ADJ	other
things	NOUN	thing
that	PRON	that
my	PRON	my
uncle	NOUN	uncle
offered	VERB	offer
for	ADP	for
,	PUNCT	,
he	PRON	he
tried	VERB	try
very	ADV	very
hard	ADV	hard
to	PART	to
buy	VERB	buy
the	DET	the
_	PUNCT	_
British	PROPN	British
Medical	PROPN	Medical
Journal	PROPN	Journal
_	PUNCT	_
and	CCONJ	and
the	DET	the
_	PUNCT	_
Lancet	PROPN	Lancet
_	PUNCT	_
,	PUNCT	,
and	CCONJ	and
run	VERB	run
them	PRON	they
on	ADP	on
what	PRON	what
he	PRON	he
called	VERB	call
modern	ADJ	modern
lines	NOUN	line
,	PUNCT	,
and	CCONJ	and
when	SCONJ	when
they	PRON	they
resisted	VERB	resist
him	PRON	he
he	PRON	he
talked	VERB	talk
very	ADV	very
vigorously	ADV	vigorously
for	ADP	for
a	DET	a
time	NOUN	time
of	ADP	of
organising	VERB	organise
a	DET	a
rival	ADJ	rival
enterprise	NOUN	enterprise
.	PUNCT	.
That	DET	that
was	AUX	be
a	DET	a
very	ADV	very
magnificent	ADJ	magnificent
idea	NOUN	idea
indeed	ADV	indeed
in	ADP	in
its	PRON	its
way	NOUN	way
;	PUNCT	;
it	PRON	it
would	AUX	would
have	AUX	have
given	VERB	give
a	DET	a
tremendous	ADJ	tremendous
advantage	NOUN	advantage
in	ADP	in
the	DET	the
handling	NOUN	handling
of	ADP	of
innumerable	ADJ	innumerable
specialties	NOUN	specialty
and	CCONJ	and
indeed	ADV	indeed
I	PRON	I
scarcely	ADV	scarcely
know	VERB	know
how	SCONJ	how
far	ADV	far
it	PRON	it
would	AUX	would
not	PART	not
have	AUX	have
put	VERB	put
the	DET	the
medical	ADJ	medical
profession	NOUN	profession
in	ADP	in
our	PRON	our
grip	NOUN	grip
.	PUNCT	.
It	PRON	it
still	ADV	still
amazes	VERB	amaze
me	PRON	I
—	PUNCT	—
I	PRON	I
shall	AUX	shall
die	VERB	die
amazed	ADJ	amazed
—	PUNCT	—
that	SCONJ	that
such	DET	such
a	DET	a
thing	NOUN	thing
can	AUX	can
be	AUX	be
possible	ADJ	possible
in	ADP	in
the	DET	the
modern	ADJ	modern
state	NOUN	state
.	PUNCT	.
If	SCONJ	if
my	PRON	my
uncle	NOUN	uncle
failed	VERB	fail
to	PART	to
bring	VERB	bring
the	DET	the
thing	NOUN	thing
off	ADP	off
,	PUNCT	,
some	DET	some
one	NUM	one
else	ADV	else
may	AUX	may
succeed	VERB	succeed
.	PUNCT	.
But	CCONJ	but
I	PRON	I
doubt	VERB	doubt
,	PUNCT	,
even	ADV	even
if	SCONJ	if
he	PRON	he
had	AUX	have
got	VERB	get
both	DET	both
these	DET	these
weeklies	NOUN	weekly
,	PUNCT	,
whether	SCONJ	whether
his	PRON	his
peculiar	ADJ	peculiar
style	NOUN	style
would	AUX	would
have	AUX	have
suited	VERB	suit
them	PRON	they
.	PUNCT	.
The	DET	the
change	NOUN	change
of	ADP	of
purpose	NOUN	purpose
would	AUX	would
have	AUX	have
shown	VERB	show
.	PUNCT	.
He	PRON	he
would	AUX	would
have	AUX	have
found	VERB	find
it	PRON	it
difficult	ADJ	difficult
to	PART	to
keep	VERB	keep
up	ADP	up
their	PRON	their
dignity	NOUN	dignity
.	PUNCT	.
He	PRON	he
certainly	ADV	certainly
did	AUX	do
not	PART	not
keep	VERB	keep
up	ADP	up
the	DET	the
dignity	NOUN	dignity
of	ADP	of
the	DET	the
_	PUNCT	_
Sacred	PROPN	Sacred
Grove	PROPN	Grove
_	PUNCT	_
,	PUNCT	,
an	DET	an
important	ADJ	important
critical	ADJ	critical
organ	NOUN	organ
which	DET	which
he	PRON	he
acquired	VERB	acquire
one	NUM	one
day	NOUN	day
—	PUNCT	—
by	ADP	by
saying	VERB	say
“	PUNCT	""""
snap”—for	PUNCT	snap”—for
eight	NUM	eight
hundred	NUM	hundred
pounds	NOUN	pound
.	PUNCT	.
He	PRON	he
got	VERB	get
it	PRON	it
“	PUNCT	""""
lock	NOUN	lock
,	PUNCT	,
stock	NOUN	stock
and	CCONJ	and
barrel”—under	PUNCT	barrel”—under
one	NUM	one
or	CCONJ	or
other	ADJ	other
of	ADP	of
which	DET	which
three	NUM	three
aspects	NOUN	aspect
the	DET	the
editor	NOUN	editor
was	AUX	be
included	VERB	include
.	PUNCT	.
Even	ADV	even
at	ADP	at
that	DET	that
price	NOUN	price
it	PRON	it
did	AUX	do
n't	PART	not
pay	VERB	pay
.	PUNCT	.
If	SCONJ	if
you	PRON	you
are	AUX	be
a	DET	a
literary	ADJ	literary
person	NOUN	person
you	PRON	you
will	AUX	will
remember	VERB	remember
the	DET	the
bright	ADJ	bright
new	ADJ	new
cover	NOUN	cover
he	PRON	he
gave	VERB	give
that	DET	that
representative	ADJ	representative
organ	NOUN	organ
of	ADP	of
British	ADJ	british
intellectual	ADJ	intellectual
culture	NOUN	culture
,	PUNCT	,
and	CCONJ	and
how	SCONJ	how
his	PRON	his
sound	ADJ	sound
business	NOUN	business
instincts	NOUN	instinct
jarred	VERB	jar
with	ADP	with
the	DET	the
exalted	ADJ	exalted
pretensions	NOUN	pretension
of	ADP	of
a	DET	a
vanishing	VERB	vanish
age	NOUN	age
.	PUNCT	.
One	NUM	one
old	ADJ	old
wrapper	NOUN	wrapper
I	PROPN	I
discovered	VERB	discover
the	DET	the
other	ADJ	other
day	NOUN	day
runs	VERB	run
:	PUNCT	:
—	PUNCT	—
“	PUNCT	""""
THE	DET	the
SACRED	PROPN	SACRED
GROVE	PROPN	GROVE
.	PUNCT	.
”	PUNCT	""""
_	PUNCT	_
A	DET	a
Weekly	PROPN	Weekly
Magazine	PROPN	Magazine
of	ADP	of
Art	PROPN	Art
,	PUNCT	,
Philosophy	PROPN	Philosophy
,	PUNCT	,
Science	PROPN	Science
and	CCONJ	and
Belles	PROPN	Belles
Lettres	PROPN	Lettres
.	PUNCT	.
_	PUNCT	_
HAVE	AUX	have
YOU	PRON	you
A	DET	a
NASTY	ADJ	nasty
TASTE	NOUN	taste
IN	ADP	in
YOUR	PRON	your
MOUTH	NOUN	mouth
?	PUNCT	?
IT	PRON	it
IS	AUX	be
LIVER	NOUN	liver
.	PUNCT	.
YOU	PRON	you
NEED	VERB	need
ONE	NUM	one
TWENTY	NUM	twenty
-	PUNCT	-
THREE	NUM	three
PILL	NOUN	pill
.	PUNCT	.
(	PUNCT	(
JUST	ADV	just
ONE	NUM	one
.	PUNCT	.
)	PUNCT	)
NOT	PART	not
A	DET	a
DRUG	NOUN	drug
BUT	CCONJ	but
A	DET	a
LIVE	ADJ	live
AMERICAN	ADJ	american
REMEDY	NOUN	remedy
.	PUNCT	.
CONTENTS	NOUN	content
.	PUNCT	.
A	DET	a
Hitherto	ADJ	hitherto
Unpublished	ADJ	unpublished
Letter	NOUN	letter
from	ADP	from
Walter	PROPN	Walter
Pater	PROPN	Pater
.	PUNCT	.
Charlotte	PROPN	Charlotte
Brontë	PROPN	Brontë
's	PART	's
Maternal	ADJ	maternal
Great	ADJ	great
Aunt	NOUN	aunt
.	PUNCT	.
A	DET	a
New	ADJ	new
Catholic	ADJ	catholic
History	NOUN	history
of	ADP	of
England	PROPN	England
.	PUNCT	.
The	DET	the
Genius	NOUN	genius
of	ADP	of
Shakespeare	PROPN	Shakespeare
.	PUNCT	.
Correspondence:—The	NOUN	correspondence:—the
Mendelian	ADJ	mendelian
Hypothesis	NOUN	hypothesis
;	PUNCT	;
The	DET	the
Split	ADJ	split
Infinitive	NOUN	infinitive
;	PUNCT	;
“	PUNCT	""""
Commence	NOUN	commence
,	PUNCT	,
”	PUNCT	""""
or	CCONJ	or
“	PUNCT	""""
Begin	VERB	begin
;	PUNCT	;
”	PUNCT	""""
Claverhouse	PROPN	Claverhouse
;	PUNCT	;
Socialism	PROPN	Socialism
and	CCONJ	and
the	DET	the
Individual	NOUN	individual
;	PUNCT	;
The	DET	the
Dignity	NOUN	dignity
of	ADP	of
Letters	NOUN	letter
.	PUNCT	.
Folk	NOUN	folk
-	PUNCT	-
lore	NOUN	lore
Gossip	NOUN	gossip
.	PUNCT	.
The	DET	the
Stage	NOUN	stage
;	PUNCT	;
the	DET	the
Paradox	NOUN	paradox
of	ADP	of
Acting	NOUN	acting
.	PUNCT	.
Travel	NOUN	travel
Biography	NOUN	biography
,	PUNCT	,
Verse	NOUN	verse
,	PUNCT	,
Fiction	NOUN	fiction
,	PUNCT	,
etc	X	etc
.	PUNCT	.
THE	DET	the
BEST	ADJ	good
PILL	NOUN	pill
IN	ADP	in
THE	DET	the
WORLD	NOUN	world
FOR	ADP	for
AN	DET	an
IRREGULAR	ADJ	irregular
LIVER	NOUN	liver
I	PRON	I
suppose	VERB	suppose
it	PRON	it
is	AUX	be
some	DET	some
lingering	VERB	linger
traces	NOUN	trace
of	ADP	of
the	DET	the
Bladesover	PROPN	Bladesover
tradition	NOUN	tradition
to	ADP	to
me	PRON	I
that	PRON	that
makes	VERB	make
this	DET	this
combination	NOUN	combination
of	ADP	of
letters	NOUN	letter
and	CCONJ	and
pills	NOUN	pill
seem	VERB	seem
so	ADV	so
incongruous	ADJ	incongruous
,	PUNCT	,
just	ADV	just
as	ADP	as
I	PRON	I
suppose	VERB	suppose
it	PRON	it
is	AUX	be
a	DET	a
lingering	VERB	linger
trace	NOUN	trace
of	ADP	of
Plutarch	PROPN	Plutarch
and	CCONJ	and
my	ADJ	my
ineradicable	ADJ	ineradicable
boyish	ADJ	boyish
imagination	NOUN	imagination
that	SCONJ	that
at	ADP	at
bottom	NOUN	bottom
our	PRON	our
State	NOUN	state
should	AUX	should
be	AUX	be
wise	ADJ	wise
,	PUNCT	,
sane	ADJ	sane
and	CCONJ	and
dignified	ADJ	dignified
,	PUNCT	,
that	PRON	that
makes	VERB	make
me	PRON	I
think	VERB	think
a	DET	a
country	NOUN	country
which	DET	which
leaves	VERB	leave
its	PRON	its
medical	ADJ	medical
and	CCONJ	and
literary	ADJ	literary
criticism	NOUN	criticism
,	PUNCT	,
or	CCONJ	or
indeed	ADV	indeed
any	DET	any
such	ADJ	such
vitally	ADV	vitally
important	ADJ	important
criticism	NOUN	criticism
,	PUNCT	,
entirely	ADV	entirely
to	ADP	to
private	ADJ	private
enterprise	NOUN	enterprise
and	CCONJ	and
open	ADJ	open
to	ADP	to
the	DET	the
advances	NOUN	advance
of	ADP	of
any	DET	any
purchaser	NOUN	purchaser
must	AUX	must
be	AUX	be
in	ADP	in
a	DET	a
frankly	ADV	frankly
hopeless	ADJ	hopeless
condition	NOUN	condition
.	PUNCT	.
These	DET	these
are	AUX	be
ideal	ADJ	ideal
conceptions	NOUN	conception
of	ADP	of
mine	PRON	mine
.	PUNCT	.
As	ADP	as
a	DET	a
matter	NOUN	matter
of	ADP	of
fact	NOUN	fact
,	PUNCT	,
nothing	PRON	nothing
would	AUX	would
be	AUX	be
more	ADV	more
entirely	ADV	entirely
natural	ADJ	natural
and	CCONJ	and
representative	ADJ	representative
of	ADP	of
the	DET	the
relations	NOUN	relation
of	ADP	of
learning	NOUN	learning
,	PUNCT	,
thought	NOUN	thought
and	CCONJ	and
the	DET	the
economic	ADJ	economic
situation	NOUN	situation
in	ADP	in
the	DET	the
world	NOUN	world
at	ADP	at
the	DET	the
present	ADJ	present
time	NOUN	time
than	ADP	than
this	DET	this
cover	NOUN	cover
of	ADP	of
the	DET	the
_	PUNCT	_
Sacred	PROPN	Sacred
Grove_—the	PUNCT	Grove_—the
quiet	ADJ	quiet
conservatism	NOUN	conservatism
of	ADP	of
the	DET	the
one	NUM	one
element	NOUN	element
embedded	VERB	embed
in	ADP	in
the	DET	the
aggressive	ADJ	aggressive
brilliance	NOUN	brilliance
of	ADP	of
the	DET	the
other	ADJ	other
;	PUNCT	;
the	DET	the
contrasted	VERB	contrast
notes	NOUN	note
of	ADP	of
bold	ADJ	bold
physiological	ADJ	physiological
experiment	NOUN	experiment
and	CCONJ	and
extreme	ADJ	extreme
mental	ADJ	mental
immobility	NOUN	immobility
.	PUNCT	.
VI	PROPN	VI
There	PRON	there
comes	VERB	come
back	ADV	back
,	PUNCT	,
too	ADV	too
,	PUNCT	,
among	ADP	among
these	DET	these
